,r = 1,r = 2,r = 4,r = 8
"LLM LoRA (ffn, FlanT5-XL)","[0.154, 0.116, 0.098, 0.089, 0.082, 0.079, 0.074, 0.074, 0.069, 0.066, 0.064]","[0.156, 0.113, 0.096, 0.087, 0.081, 0.078, 0.075, 0.073, 0.069, 0.067]","[0.153, 0.115, 0.1, 0.09, 0.082, 0.079, 0.075, 0.073, 0.069, 0.066, 0.065, 0.063, 0.06, 0.057, 0.056]","[0.156, 0.117, 0.099, 0.088, 0.082, 0.077, 0.073, 0.072]"
"LLM LoRA (attn, FlanT5-XL)","[0.159, 0.117, 0.1, 0.09, 0.084, 0.079, 0.076, 0.074, 0.07, 0.068, 0.065, 0.064, 0.061, 0.06, 0.057]","[0.155, 0.114, 0.097, 0.088, 0.081, 0.076, 0.073, 0.07, 0.065, 0.063]","[0.154, 0.113, 0.094, 0.087, 0.082, 0.077, 0.074, 0.073, 0.068, 0.066, 0.065, 0.062, 0.06]","[0.159, 0.117, 0.1, 0.091, 0.084, 0.079, 0.076, 0.075, 0.071, 0.068, 0.065]"
"LLM LoRA (all, FlanT5-XL)","[0.158, 0.115, 0.099, 0.088, 0.082, 0.079, 0.074, 0.072, 0.068, 0.066, 0.062, 0.062]","[0.151, 0.112, 0.095, 0.087, 0.08, 0.077, 0.074, 0.072, 0.068, 0.067, 0.065, 0.062, 0.061, 0.059, 0.057]","[0.151, 0.114, 0.097, 0.089, 0.082, 0.077, 0.073, 0.073]","[0.158, 0.115, 0.099, 0.089, 0.083, 0.077, 0.074, 0.073, 0.067, 0.064, 0.062, 0.058, 0.056, 0.052, 0.05]"
"Q-Former LoRA (ffn, FlanT5-XL)","[0.163, 0.133, 0.12, 0.112, 0.105, 0.101, 0.098, 0.094, 0.091, 0.089, 0.089, 0.086, 0.084, 0.082, 0.08]","[0.163, 0.133, 0.12, 0.112, 0.105, 0.101, 0.098, 0.095, 0.091, 0.09, 0.089, 0.086, 0.084, 0.082, 0.08]","[0.187, 0.154, 0.141, 0.136, 0.131, 0.125, 0.123, 0.119, 0.115, 0.115, 0.112]","[0.163, 0.133, 0.12, 0.112, 0.105, 0.101, 0.098, 0.095, 0.091, 0.09, 0.089, 0.086, 0.084, 0.082, 0.08]"
"Q-Former LoRA (self-attn, FlanT5-XL)","[0.164, 0.131, 0.12, 0.112, 0.105, 0.101, 0.098, 0.098, 0.092, 0.091, 0.089, 0.087, 0.084, 0.083, 0.082]","[0.164, 0.131, 0.12, 0.112, 0.105, 0.101, 0.098, 0.098, 0.092, 0.091, 0.089, 0.087, 0.084, 0.083, 0.082]","[0.164, 0.131, 0.12, 0.112, 0.105, 0.101, 0.098, 0.098, 0.092, 0.091, 0.089, 0.087, 0.084, 0.083, 0.082]","[0.164, 0.131, 0.12, 0.112, 0.105, 0.101, 0.098, 0.098, 0.092, 0.091, 0.089, 0.087, 0.084, 0.083, 0.082]"
"Q-Former LoRA (cross-attn, FlanT5-XL)","[0.168, 0.156, 0.14, 0.132, 0.139, 0.123, 0.116, 0.112, 0.106, 0.105, 0.1, 0.099, 0.095, 0.092, 0.09]","[0.168, 0.156, 0.14, 0.132, 0.139, 0.123, 0.116, 0.112, 0.106, 0.105, 0.1, 0.099, 0.095, 0.092, 0.09]","[0.168, 0.156, 0.14, 0.132, 0.139, 0.123, 0.116, 0.112, 0.106, 0.105, 0.1, 0.099, 0.095, 0.092, 0.09]","[0.168, 0.156, 0.14, 0.132, 0.139, 0.123, 0.116, 0.112, 0.106, 0.105, 0.1, 0.099, 0.095, 0.092, 0.09]"
"Q-Former LoRA (all, FlanT5-XL)","[0.166, 0.133, 0.121, 0.112, 0.106, 0.101, 0.098, 0.095, 0.092, 0.091, 0.088, 0.086, 0.087, 0.083, 0.082]","[0.186, 0.155, 0.142, 0.135, 0.13, 0.125, 0.122, 0.118]","[0.166, 0.133, 0.121, 0.112, 0.106, 0.101, 0.098, 0.095, 0.092, 0.091, 0.088, 0.086, 0.087, 0.083, 0.082]","[0.166, 0.133, 0.121, 0.112, 0.106, 0.101, 0.098, 0.095, 0.092, 0.091, 0.088, 0.086, 0.087, 0.083, 0.082]"
"Q-Former and LLM LoRA (all, FlanT5-XL)","[0.155, 0.129, 0.12, 0.113, 0.11, 0.103, 0.1, 0.093, 0.089, 0.084, 0.08, 0.077, 0.073, 0.07, 0.066]","[0.154, 0.131, 0.118, 0.237, 0.105, 0.101, 0.097, 0.092, 0.087, 0.082, 0.079, 0.077, 0.072, 0.067, 0.064]","[0.155, 0.126, 0.117, 0.111, 0.104, 0.099, 0.094, 0.091, 0.088, 0.086, 0.083, 0.082, 0.08, 0.077, 0.077]","[0.154, 0.13, 0.123, 0.112, 0.107, 0.101, 0.096, 0.091, 0.086, 0.084, 0.079, 0.074, 0.07, 0.065, 0.062]"
"LLM LoRA (ffn, Vicuna-7B)",0.0,0.0,0.0,0.0
"LLM LoRA (attn, Vicuna-7B)",0.0,0.0,0.0,0.0
