,r = 1,r = 2,r = 4,r = 8
"LLM LoRA (ffn, FlanT5-XL)",0.4080090909090908,0.41562,0.41070666666666666,0.40625
"LLM LoRA (attn, FlanT5-XL)",0.40950000000000003,0.41551,0.40329230769230767,0.4057
"LLM LoRA (all, FlanT5-XL)",0.456825,0.4611466666666667,0.46080000000000004,0.44953333333333334
"Q-Former LoRA (ffn, FlanT5-XL)",0.39302,0.40376666666666666,0.39350909090909086,0.4033866666666668
"Q-Former LoRA (self-attn, FlanT5-XL)",0.36795999999999995,0.3701666666666667,0.3736066666666667,0.37857333333333343
"Q-Former LoRA (cross-attn, FlanT5-XL)",0.3675333333333333,0.3694066666666667,0.36636,0.3727933333333333
"Q-Former LoRA (all, FlanT5-XL)",0.4439266666666667,0.4507375,0.44934666666666667,0.4368933333333333
"Q-Former and LLM LoRA (all, FlanT5-XL)",0.5318066666666666,0.5466133333333334,0.5570866666666666,0.5539000000000001
"LLM LoRA (ffn, Vicuna-7B)",0.0,0.0,0.0,0.0
"LLM LoRA (attn, Vicuna-7B)",0.0,0.0,0.0,0.0
"LLM LoRA (all, Vicuna-7B)",0.0,0.0,0.0,0.0
"Q-Former LoRA (ffn, Vicuna-7B)",0.0,0.0,0.0,0.0
"Q-Former LoRA (self-attn, Vicuna-7B)",0.0,0.0,0.0,0.0
"Q-Former LoRA (cross-attn, Vicuna-7B)",0.0,0.0,0.0,0.0
"Q-Former LoRA (all, Vicuna-7B)",0.0,0.0,0.0,0.0
"Q-Former and LLM LoRA (all, Vicuna-7B)",0.0,0.0,0.0,0.0
