,r = 1,r = 2,r = 4,r = 8
"LLM LoRA (ffn, FlanT5-XL)",5.9030555555555555,5.466666666666667,8.1025,4.2747222222222225
"LLM LoRA (attn, FlanT5-XL)",8.079166666666667,5.465,6.895277777777777,5.869722222222222
"LLM LoRA (all, FlanT5-XL)",7.21,9.097777777777777,4.848055555555556,8.868055555555555
"Q-Former LoRA (ffn, FlanT5-XL)",7.754166666666666,7.9655555555555555,5.6930555555555555,7.958055555555555
"Q-Former LoRA (self-attn, FlanT5-XL)",7.259444444444444,7.302777777777778,7.370555555555556,7.4688888888888885
"Q-Former LoRA (cross-attn, FlanT5-XL)",7.250277777777778,7.2875,7.228055555555556,7.354722222222223
"Q-Former LoRA (all, FlanT5-XL)",8.758333333333333,4.7427777777777775,8.865555555555556,8.61888888888889
"Q-Former and LLM LoRA (all, FlanT5-XL)",10.492222222222223,10.784722222222221,10.991388888888888,10.928055555555556
"LLM LoRA (ffn, Vicuna-7B)",0.0,0.0,0.0,0.0
"LLM LoRA (attn, Vicuna-7B)",0.0,0.0,0.0,0.0
"LLM LoRA (all, Vicuna-7B)",0.0,0.0,0.0,0.0
"Q-Former LoRA (ffn, Vicuna-7B)",0.0,0.0,0.0,0.0
"Q-Former LoRA (self-attn, Vicuna-7B)",0.0,0.0,0.0,0.0
"Q-Former LoRA (cross-attn, Vicuna-7B)",0.0,0.0,0.0,0.0
"Q-Former LoRA (all, Vicuna-7B)",0.0,0.0,0.0,0.0
"Q-Former and LLM LoRA (all, Vicuna-7B)",0.0,0.0,0.0,0.0
