,r = 1,r = 2,r = 4,r = 8
"LLM LoRA (ffn, FlanT5-XL)",0.5653133333333333,0.5799090909090908,0.5827266666666666,0.5854799999999999
"LLM LoRA (attn, FlanT5-XL)",0.56219,0.5646545454545454,0.5636636363636364,0.5647333333333334
"LLM LoRA (all, FlanT5-XL)",0.6038583333333334,0.60472,0.6070454545454547,0.6133000000000001
"Q-Former LoRA (ffn, FlanT5-XL)",0.55732,0.5623666666666666,0.56294,0.5615666666666667
"Q-Former LoRA (self-attn, FlanT5-XL)",0.5416833333333334,0.5487083333333334,0.5503454545454545,0.5466916666666667
"Q-Former LoRA (cross-attn, FlanT5-XL)",0.5321333333333335,0.5314066666666667,0.5333666666666667,0.5304733333333334
"Q-Former LoRA (all, FlanT5-XL)",0.6005428571428572,0.6124857142857143,0.6123142857142856,0.6114571428571428
"Q-Former and LLM LoRA (all, FlanT5-XL)",0.6925846153846152,0.6912090909090908,0.6952800000000001,0.6922461538461538
"LLM LoRA (ffn, Vicuna-7B)",0.561125,0.568975,0.56765,0.568075
"LLM LoRA (attn, Vicuna-7B)",0.54415,0.544925,0.545925,0.548175
"LLM LoRA (all, Vicuna-7B)",0.5789249999999999,0.587125,0.5867249999999999,0.58745
"Q-Former LoRA (ffn, Vicuna-7B)",0.9315,0.9332571428571431,0.92945,0.9313357142857142
"Q-Former LoRA (self-attn, Vicuna-7B)",0.900776923076923,0.9065307692307693,0.9025076923076925,0.9040230769230766
"Q-Former LoRA (cross-attn, Vicuna-7B)",0.89816,0.8937666666666667,0.8926200000000001,0.8955933333333335
"Q-Former LoRA (all, Vicuna-7B)",1.0044666666666666,0.9754222222222223,0.9813333333333334,0.9793888888888888
"Q-Former and LLM LoRA (all, Vicuna-7B)",0.636425,0.6512,0.647575,0.6402000000000001
"Q-Former (self-attn QVO, FlanT5-XL)",0.5475285714285714,0.5448214285714286,0.551476923076923,0.5587500000000001
"Q-Former (cross-attn QVO, FlanT5-XL)",0.5271866666666666,0.5260199999999999,0.5423066666666666,0.5322533333333334
"Q-Former (cross-attn QV, FlanT5-XL)",0.5191466666666666,0.5172466666666666,0.5329400000000001,0.5158733333333333
