,r = 1,r = 2,r = 4,r = 8
"LLM LoRA (ffn, FlanT5-XL)",3.658333333333333,2.7519444444444443,3.7708333333333335,3.788611111111111
"LLM LoRA (attn, FlanT5-XL)",2.4252777777777776,2.6797222222222223,2.674722222222222,2.923888888888889
"LLM LoRA (all, FlanT5-XL)",3.126388888888889,3.912777777777778,2.881111111111111,3.1755555555555555
"Q-Former LoRA (ffn, FlanT5-XL)",3.6066666666666665,3.638888888888889,3.6430555555555557,3.6341666666666668
"Q-Former LoRA (self-attn, FlanT5-XL)",2.8041666666666667,2.8408333333333333,2.6119444444444446,2.830277777777778
"Q-Former LoRA (cross-attn, FlanT5-XL)",3.443611111111111,3.438888888888889,3.451388888888889,3.4325
"Q-Former LoRA (all, FlanT5-XL)",1.8138888888888889,1.8494444444444444,1.8488888888888888,1.8466666666666667
"Q-Former and LLM LoRA (all, FlanT5-XL)",3.8847222222222224,3.2802777777777776,4.500277777777778,3.8827777777777777
"LLM LoRA (ffn, Vicuna-7B)",0.9683333333333334,0.9816666666666667,0.9794444444444445,0.9802777777777778
"LLM LoRA (attn, Vicuna-7B)",0.9391666666666667,0.9405555555555556,0.9422222222222222,0.9461111111111111
"LLM LoRA (all, Vicuna-7B)",0.9988888888888889,1.0133333333333334,1.0125,1.013611111111111
"Q-Former LoRA (ffn, Vicuna-7B)",2.8125,2.8180555555555555,2.806111111111111,2.812777777777778
"Q-Former LoRA (self-attn, Vicuna-7B)",2.5258333333333334,2.542222222222222,2.5305555555555554,2.535277777777778
"Q-Former LoRA (cross-attn, Vicuna-7B)",2.9052777777777776,2.891388888888889,2.887777777777778,2.8975
"Q-Former LoRA (all, Vicuna-7B)",1.95,1.8933333333333333,1.9047222222222222,1.9013888888888888
"Q-Former and LLM LoRA (all, Vicuna-7B)",1.0983333333333334,1.123888888888889,1.1175,1.105
"Q-Former (self-attn QVO, FlanT5-XL)",3.3069444444444445,3.2908333333333335,3.0930555555555554,3.375277777777778
"Q-Former (cross-attn QVO, FlanT5-XL)",3.411388888888889,3.403888888888889,3.5094444444444446,3.444722222222222
"Q-Former (cross-attn QV, FlanT5-XL)",3.3594444444444442,3.3472222222222223,3.448888888888889,3.3380555555555556
